# Time-averaged data for fix msdk
# TimeStep c_mk[4]
0 1.50113e-29
10 0.00172382
20 0.00677473
30 0.0147385
40 0.025012
50 0.0371134
60 0.0506739
70 0.0651155
80 0.0797422
90 0.0941937
100 0.108422
110 0.12243
120 0.136348
130 0.150248
140 0.163862
150 0.176956
160 0.189651
170 0.201856
180 0.21317
190 0.223644
200 0.233642
210 0.243084
220 0.251607
230 0.259299
240 0.26657
250 0.273597
260 0.280722
270 0.288416
280 0.296539
290 0.304596
300 0.312208
310 0.318976
320 0.324708
330 0.329663
340 0.334402
350 0.339426
360 0.344876
370 0.35059
380 0.356463
390 0.362393
400 0.368061
410 0.373152
420 0.377879
430 0.382503
440 0.386903
450 0.390991
460 0.394875
470 0.398263
480 0.400717
490 0.402178
500 0.402772
510 0.402888
520 0.403359
530 0.404926
540 0.407801
550 0.411646
560 0.415856
570 0.419879
580 0.423614
590 0.427162
600 0.430285
610 0.432329
620 0.433257
630 0.433754
640 0.434559
650 0.435757
660 0.437075
670 0.438404
680 0.439558
690 0.440078
700 0.439792
710 0.438881
720 0.437346
730 0.435196
740 0.432754
750 0.430378
760 0.428243
770 0.426419
780 0.425016
790 0.42419
800 0.423951
810 0.423885
820 0.42368
830 0.423308
840 0.422436
850 0.420897
860 0.419287
870 0.418268
880 0.418236
890 0.419322
900 0.42132
910 0.423767
920 0.426148
930 0.428204
940 0.430075
950 0.431615
960 0.432437
970 0.432493
980 0.432041
990 0.431724
1000 0.432203
1010 0.43324
1020 0.434476
1030 0.435972
1040 0.437532
1050 0.438564
1060 0.438582
1070 0.438269
1080 0.438778
1090 0.440533
1100 0.443002
1110 0.445191
1120 0.446836
1130 0.448331
1140 0.449607
1150 0.45031
1160 0.450595
1170 0.451054
1180 0.451909
1190 0.453378
1200 0.455706
1210 0.458493
1220 0.461345
1230 0.464367
1240 0.467609
1250 0.470864
1260 0.473872
1270 0.475957
1280 0.476487
1290 0.475792
1300 0.474938
1310 0.474743
1320 0.475089
1330 0.475248
1340 0.475011
1350 0.474986
1360 0.475609
1370 0.476943
1380 0.4793
1390 0.482964
1400 0.487557
1410 0.49221
1420 0.496104
1430 0.498678
1440 0.499838
1450 0.499842
1460 0.498786
1470 0.496991
1480 0.495408
1490 0.494568
1500 0.493929
1510 0.493115
1520 0.49268
1530 0.493176
1540 0.494759
1550 0.497641
1560 0.501938
1570 0.507075
1580 0.512196
1590 0.516912
1600 0.520904
1610 0.523722
1620 0.525131
1630 0.525192
1640 0.524252
1650 0.523078
1660 0.522575
1670 0.523519
1680 0.526136
1690 0.530691
1700 0.537697
1710 0.546668
1720 0.555793
1730 0.563511
1740 0.569626
1750 0.574365
1760 0.577848
1770 0.580585
1780 0.583074
1790 0.585821
1800 0.58968
1810 0.594703
1820 0.600132
1830 0.60554
1840 0.610654
1850 0.615205
1860 0.619653
1870 0.62455
1880 0.629447
1890 0.633418
1900 0.635957
1910 0.637003
1920 0.636655
1930 0.635445
1940 0.634136
1950 0.633086
1960 0.6325
1970 0.632588
1980 0.633445
1990 0.635245
2000 0.637913
2010 0.641086
2020 0.644607
2030 0.648162
2040 0.651328
2050 0.653821
2060 0.655595
2070 0.657359
2080 0.659828
2090 0.662678
2100 0.665226
2110 0.667309
2120 0.669077
2130 0.670892
2140 0.673066
2150 0.675301
2160 0.677475
2170 0.67995
2180 0.682925
2190 0.685971
2200 0.688828
2210 0.691524
2220 0.693823
2230 0.695522
2240 0.696775
2250 0.697858
2260 0.698963
2270 0.700097
2280 0.701372
2290 0.702651
2300 0.703565
2310 0.703816
2320 0.703778
2330 0.703737
2340 0.703326
2350 0.702114
2360 0.699739
2370 0.696178
2380 0.691913
2390 0.687638
2400 0.683835
2410 0.680649
2420 0.678374
2430 0.6771
2440 0.67635
2450 0.675809
2460 0.675602
2470 0.675483
2480 0.675077
2490 0.674014
2500 0.671954
2510 0.669162
2520 0.666491
2530 0.664553
2540 0.663415
2550 0.66319
2560 0.664413
2570 0.666784
2580 0.669018
2590 0.670917
2600 0.673126
2610 0.67577
2620 0.67878
2630 0.681608
2640 0.683537
2650 0.684869
2660 0.686617
2670 0.689136
2680 0.692227
2690 0.695797
2700 0.699686
2710 0.703485
2720 0.706611
2730 0.708872
2740 0.71076
2750 0.712663
2760 0.713941
2770 0.714209
2780 0.714064
2790 0.713745
2800 0.712453
2810 0.710021
2820 0.70789
2830 0.707736
2840 0.71033
2850 0.715554
2860 0.722409
2870 0.729361
2880 0.735322
2890 0.740522
2900 0.745364
2910 0.749501
2920 0.752592
2930 0.754596
2940 0.755797
2950 0.756774
2960 0.757971
2970 0.759952
2980 0.762916
2990 0.766245
3000 0.769571
3010 0.772858
3020 0.775674
3030 0.777439
3040 0.778179
3050 0.778546
3060 0.779267
3070 0.781116
3080 0.784275
3090 0.788388
3100 0.793347
3110 0.799016
3120 0.804985
3130 0.811191
3140 0.818144
3150 0.826277
3160 0.835219
3170 0.843283
3180 0.848971
3190 0.852725
3200 0.854967
3210 0.855354
3220 0.854149
3230 0.852026
3240 0.848821
3250 0.843953
3260 0.837601
3270 0.830591
3280 0.823781
3290 0.818152
