# Time-averaged data for fix msdo
# TimeStep c_mo[4]
0 3.22381e-29
10 0.00446857
20 0.0163064
30 0.0328346
40 0.051149
50 0.0667781
60 0.0788482
70 0.0893981
80 0.101964
90 0.117727
100 0.135118
110 0.153038
120 0.16977
130 0.183118
140 0.194699
150 0.206004
160 0.217681
170 0.229858
180 0.241173
190 0.251087
200 0.262691
210 0.275353
220 0.285231
230 0.290493
240 0.291886
250 0.289975
260 0.285331
270 0.280952
280 0.280967
290 0.285159
300 0.291009
310 0.296815
320 0.302036
330 0.307067
340 0.312982
350 0.318316
360 0.320307
370 0.320224
380 0.32348
390 0.330849
400 0.338886
410 0.346334
420 0.351806
430 0.351883
440 0.347972
450 0.343555
460 0.338627
470 0.335319
480 0.33616
490 0.338267
500 0.340057
510 0.342378
520 0.34797
530 0.357847
540 0.370053
550 0.379213
560 0.385612
570 0.392688
580 0.401873
590 0.414534
600 0.428697
610 0.439953
620 0.447062
630 0.453624
640 0.458768
650 0.459729
660 0.458219
670 0.459021
680 0.46293
690 0.466465
700 0.468529
710 0.470027
720 0.474055
730 0.480318
740 0.483635
750 0.484644
760 0.485583
770 0.484137
780 0.480774
790 0.47995
800 0.482747
810 0.48531
820 0.486545
830 0.488466
840 0.490759
850 0.494626
860 0.501087
870 0.507245
880 0.511066
890 0.514086
900 0.515729
910 0.514516
920 0.514015
930 0.516318
940 0.518782
950 0.521225
960 0.52551
970 0.530358
980 0.533319
990 0.534319
1000 0.535086
1010 0.53824
1020 0.544914
1030 0.554189
1040 0.563531
1050 0.569934
1060 0.573656
1070 0.576681
1080 0.578748
1090 0.581058
1100 0.585444
1110 0.591271
1120 0.591736
1130 0.584519
1140 0.576558
1150 0.574416
1160 0.578787
1170 0.587374
1180 0.595738
1190 0.600172
1200 0.600655
1210 0.602576
1220 0.610721
1230 0.624639
1240 0.641042
1250 0.654697
1260 0.662514
1270 0.664357
1280 0.664331
1290 0.666468
1300 0.669674
1310 0.675332
1320 0.685043
1330 0.693893
1340 0.700319
1350 0.703617
1360 0.701849
1370 0.69872
1380 0.696765
1390 0.693383
1400 0.688033
1410 0.685912
1420 0.690161
1430 0.69683
1440 0.701934
1450 0.702814
1460 0.696359
1470 0.682725
1480 0.668922
1490 0.662371
1500 0.663344
1510 0.665523
1520 0.665796
1530 0.664898
1540 0.661812
1550 0.655309
1560 0.649422
1570 0.647625
1580 0.648045
1590 0.647968
1600 0.64711
1610 0.649687
1620 0.656887
1630 0.661222
1640 0.659248
1650 0.653286
1660 0.648306
1670 0.646814
1680 0.646845
1690 0.648777
1700 0.655969
1710 0.66753
1720 0.677281
1730 0.679056
1740 0.675853
1750 0.673291
1760 0.672275
1770 0.672723
1780 0.674718
1790 0.679694
1800 0.687896
1810 0.69511
1820 0.698601
1830 0.70207
1840 0.707249
1850 0.711461
1860 0.716418
1870 0.723132
1880 0.727804
1890 0.730859
1900 0.736488
1910 0.746095
1920 0.762569
1930 0.783978
1940 0.803912
1950 0.820967
1960 0.834132
1970 0.837868
1980 0.836434
1990 0.835392
2000 0.832911
2010 0.831041
2020 0.831507
2030 0.8324
2040 0.833952
2050 0.837981
2060 0.844747
2070 0.851095
2080 0.856774
2090 0.864542
2100 0.874683
2110 0.886034
2120 0.899364
2130 0.914314
2140 0.928826
2150 0.939354
2160 0.942932
2170 0.942179
2180 0.941162
2190 0.943817
2200 0.952284
2210 0.963947
2220 0.974965
2230 0.985906
2240 0.999344
2250 1.0107
2260 1.01539
2270 1.01907
2280 1.02794
2290 1.03779
2300 1.04414
2310 1.04868
2320 1.05413
2330 1.05535
2340 1.0502
2350 1.04353
2360 1.03961
2370 1.03998
2380 1.04276
2390 1.04389
2400 1.04258
2410 1.03813
2420 1.03362
2430 1.03437
2440 1.04015
2450 1.04792
2460 1.05755
2470 1.06543
2480 1.06887
2490 1.07439
2500 1.08342
2510 1.09014
2520 1.09033
2530 1.08502
2540 1.07547
2550 1.06877
2560 1.06936
2570 1.07091
2580 1.07242
2590 1.07809
2600 1.08359
2610 1.08627
2620 1.0898
2630 1.09501
2640 1.09603
2650 1.09079
2660 1.08592
2670 1.08429
2680 1.08599
2690 1.09492
2700 1.11375
2710 1.13864
2720 1.15932
2730 1.17115
2740 1.17749
2750 1.18064
2760 1.18336
2770 1.18955
2780 1.19908
2790 1.20984
2800 1.21859
2810 1.22432
2820 1.22891
2830 1.23301
2840 1.23649
2850 1.23654
2860 1.23599
2870 1.2406
2880 1.24878
2890 1.25125
2900 1.24868
2910 1.25244
2920 1.25897
2930 1.26299
2940 1.26386
2950 1.26324
2960 1.26128
2970 1.26051
2980 1.26561
2990 1.27358
3000 1.27994
3010 1.28436
3020 1.28959
3030 1.29611
3040 1.30212
3050 1.30757
3060 1.31243
3070 1.31414
3080 1.31256
3090 1.3071
3100 1.29558
3110 1.28435
3120 1.28014
3130 1.2822
3140 1.28618
3150 1.28976
3160 1.29105
3170 1.29132
3180 1.29324
3190 1.29485
3200 1.29168
3210 1.28598
3220 1.28156
3230 1.28083
3240 1.28134
3250 1.28249
3260 1.28446
3270 1.28649
3280 1.28837
3290 1.28853
3300 1.28667
3310 1.28799
3320 1.29038
3330 1.28912
3340 1.28439
3350 1.27584
3360 1.26493
3370 1.25634
3380 1.25293
3390 1.24941
3400 1.24469
3410 1.24188
3420 1.24358
3430 1.24785
3440 1.25058
3450 1.2505
3460 1.24755
3470 1.24093
3480 1.23453
3490 1.23474
3500 1.24466
3510 1.258
3520 1.26427
3530 1.26108
3540 1.25345
3550 1.24807
3560 1.24666
3570 1.24334
3580 1.23745
3590 1.23826
3600 1.24756
3610 1.2534
3620 1.25269
3630 1.2528
3640 1.25352
3650 1.25377
3660 1.25624
3670 1.26207
3680 1.26979
3690 1.28073
3700 1.29476
3710 1.30674
3720 1.31401
3730 1.3213
3740 1.32879
3750 1.33292
3760 1.33332
3770 1.33067
3780 1.32886
3790 1.33063
3800 1.33098
3810 1.32657
3820 1.32135
3830 1.31766
3840 1.3152
3850 1.31695
3860 1.32454
3870 1.3313
3880 1.33429
3890 1.33422
3900 1.33412
3910 1.33985
3920 1.35202
3930 1.36228
3940 1.37033
3950 1.37764
3960 1.37955
3970 1.37891
3980 1.38236
3990 1.3847
4000 1.38197
4010 1.37516
4020 1.36806
4030 1.36687
4040 1.37193
4050 1.3762
4060 1.37965
4070 1.38792
4080 1.39197
4090 1.39191
4100 1.39854
4110 1.40614
4120 1.40404
4130 1.40084
4140 1.40135
4150 1.40339
4160 1.41256
4170 1.43202
4180 1.44928
4190 1.4572
4200 1.45745
4210 1.45061
4220 1.44078
4230 1.43352
4240 1.43194
4250 1.4425
4260 1.46324
4270 1.47628
4280 1.47382
4290 1.46785
4300 1.46668
4310 1.47085
4320 1.48109
4330 1.49686
4340 1.51557
4350 1.53291
4360 1.54554
4370 1.55471
4380 1.55813
4390 1.55278
4400 1.54167
4410 1.53397
4420 1.53558
4430 1.53704
4440 1.53453
4450 1.53829
4460 1.54358
4470 1.54025
4480 1.53522
4490 1.54018
4500 1.55154
4510 1.55898
4520 1.56047
4530 1.56325
4540 1.56829
4550 1.57582
4560 1.58582
4570 1.59303
4580 1.59177
4590 1.58513
4600 1.58232
4610 1.58669
4620 1.59647
4630 1.6124
4640 1.62768
4650 1.63242
4660 1.62712
4670 1.61671
4680 1.60714
4690 1.60858
4700 1.62617
4710 1.647
4720 1.6588
4730 1.66355
4740 1.66684
4750 1.66777
4760 1.66289
4770 1.65744
4780 1.65938
4790 1.66941
4800 1.6835
4810 1.69476
