# Time-averaged data for fix msdw
# TimeStep c_mw[4]
0 6.60651e-11
10 0.0276664
20 0.0816665
30 0.121411
40 0.143021
50 0.164907
60 0.193392
70 0.22722
80 0.259538
90 0.289111
100 0.319765
110 0.351294
120 0.380494
130 0.4088
140 0.439174
150 0.469444
160 0.498252
170 0.528612
180 0.560589
190 0.592809
200 0.622738
210 0.649285
220 0.672084
230 0.697332
240 0.728855
250 0.760875
260 0.78991
270 0.817824
280 0.850762
290 0.88385
300 0.910468
310 0.934321
320 0.958875
330 0.988459
340 1.01926
350 1.04413
360 1.06762
370 1.09372
380 1.12124
390 1.14913
400 1.17253
410 1.19044
420 1.20964
430 1.23167
440 1.25236
450 1.27271
460 1.2931
470 1.31358
480 1.33547
490 1.35729
500 1.37734
510 1.39581
520 1.41114
530 1.42524
540 1.44072
550 1.45878
560 1.48126
570 1.50316
580 1.52393
590 1.54163
600 1.55722
610 1.57196
620 1.58817
630 1.60755
640 1.62435
650 1.63885
660 1.65396
670 1.67073
680 1.68615
690 1.69992
700 1.71442
710 1.72849
720 1.74587
730 1.76346
740 1.78055
750 1.80135
760 1.82309
770 1.83939
780 1.8524
790 1.86742
800 1.88115
810 1.89075
820 1.90183
830 1.91713
840 1.93759
850 1.95751
860 1.97321
870 1.98779
880 2.00611
890 2.02489
900 2.03637
910 2.0469
920 2.06445
930 2.08411
940 2.10055
950 2.11451
960 2.13114
970 2.15108
980 2.17159
990 2.18331
1000 2.18509
1010 2.19138
1020 2.20411
1030 2.21409
1040 2.22431
1050 2.24249
1060 2.2612
1070 2.27823
1080 2.29252
1090 2.30552
1100 2.31847
1110 2.33142
1120 2.3481
1130 2.36581
1140 2.38359
1150 2.40055
1160 2.41618
1170 2.43354
1180 2.45459
1190 2.47095
1200 2.48399
1210 2.49949
1220 2.51813
1230 2.53356
1240 2.54582
1250 2.56075
1260 2.57982
1270 2.60371
1280 2.63235
1290 2.657
1300 2.67929
1310 2.70035
1320 2.71626
1330 2.73103
1340 2.75021
1350 2.77241
1360 2.79536
1370 2.81421
1380 2.82947
1390 2.84762
1400 2.87276
1410 2.89086
1420 2.90381
1430 2.92082
1440 2.94597
1450 2.97651
1460 2.99076
