# Time-averaged data for fix msdk
# TimeStep c_mk[4]
0 0
10 0.00187696
20 0.00739736
30 0.0164065
40 0.0285406
50 0.0432227
60 0.0600253
70 0.0784609
80 0.0979486
90 0.117855
100 0.137579
110 0.156582
120 0.174659
130 0.191981
140 0.208753
150 0.224926
160 0.240406
170 0.25545
180 0.269923
190 0.28297
200 0.294279
210 0.304253
220 0.31312
230 0.32148
240 0.330986
250 0.342384
260 0.35509
270 0.368881
280 0.383688
290 0.399274
300 0.41558
310 0.432563
320 0.449318
330 0.464664
340 0.478506
350 0.491456
360 0.503636
370 0.514597
380 0.524398
390 0.532889
400 0.539907
410 0.546233
420 0.552526
430 0.558972
440 0.565068
450 0.569951
460 0.573148
470 0.574807
480 0.575438
490 0.576071
500 0.578145
510 0.582433
520 0.588482
530 0.595572
540 0.603755
550 0.612875
560 0.621989
570 0.630513
580 0.638381
590 0.645639
600 0.652387
610 0.658638
620 0.664281
630 0.669577
640 0.675216
650 0.682121
660 0.690894
670 0.701421
680 0.712992
690 0.723958
700 0.732532
710 0.738301
720 0.741758
730 0.743448
740 0.743975
750 0.744356
760 0.745934
770 0.749596
780 0.755496
790 0.763223
800 0.771951
810 0.780503
820 0.787946
830 0.795011
840 0.803052
850 0.812561
860 0.823421
870 0.835907
880 0.850262
890 0.865704
900 0.880811
910 0.894458
920 0.906155
930 0.915733
940 0.923255
950 0.928456
960 0.930823
970 0.931125
980 0.930735
990 0.929954
1000 0.928644
1010 0.928081
1020 0.929436
1030 0.932192
1040 0.935746
1050 0.940453
1060 0.946827
1070 0.955199
1080 0.965327
1090 0.976272
1100 0.987468
1110 0.999338
1120 1.01154
1130 1.02274
1140 1.03224
1150 1.0403
1160 1.0473
1170 1.05363
1180 1.05959
1190 1.06451
1200 1.06808
1210 1.0717
1220 1.07687
1230 1.08378
1240 1.09177
1250 1.10014
1260 1.10817
1270 1.11559
1280 1.12302
1290 1.13062
1300 1.13762
1310 1.14327
1320 1.14792
1330 1.15262
1340 1.15716
1350 1.16048
1360 1.16236
1370 1.16275
1380 1.162
1390 1.16121
1400 1.16169
1410 1.16408
1420 1.16813
1430 1.17339
1440 1.1799
1450 1.18833
1460 1.19885
1470 1.21065
1480 1.22225
1490 1.23214
1500 1.2393
1510 1.24268
1520 1.24243
1530 1.24
1540 1.2366
1550 1.23289
1560 1.23073
1570 1.23204
1580 1.23716
1590 1.24521
