# Time-averaged data for fix msdo
# TimeStep c_mo[4]
0 0
10 0.00444563
20 0.0160636
30 0.0307496
40 0.0461835
50 0.0602748
60 0.0711919
70 0.0805215
80 0.0892838
90 0.097701
100 0.107697
110 0.12101
120 0.138793
130 0.160028
140 0.18035
150 0.19696
160 0.208889
170 0.216675
180 0.223551
190 0.230947
200 0.238463
210 0.249682
220 0.265273
230 0.279781
240 0.291121
250 0.299351
260 0.304142
270 0.307458
280 0.312006
290 0.320105
300 0.332943
310 0.347712
320 0.362977
330 0.376536
340 0.386668
350 0.394108
360 0.397852
370 0.397946
380 0.396681
390 0.395858
400 0.396013
410 0.397895
420 0.399266
430 0.398877
440 0.397631
450 0.396649
460 0.396208
470 0.397121
480 0.399006
490 0.400483
500 0.40194
510 0.403765
520 0.403758
530 0.404421
540 0.411009
550 0.421839
560 0.433507
570 0.446028
580 0.458928
590 0.468977
600 0.475011
610 0.479
620 0.48171
630 0.486197
640 0.494773
650 0.504529
660 0.512036
670 0.516638
680 0.52021
690 0.521028
700 0.518028
710 0.514953
720 0.511704
730 0.507575
740 0.507425
750 0.510158
760 0.509799
770 0.509155
780 0.513752
790 0.520596
800 0.527153
810 0.535908
820 0.545593
830 0.554197
840 0.55898
850 0.559451
860 0.558924
870 0.560574
880 0.564279
890 0.570484
900 0.578827
910 0.585946
920 0.589915
930 0.591926
940 0.595476
950 0.60089
960 0.604908
970 0.606161
980 0.607888
990 0.609272
1000 0.608704
1010 0.6041
1020 0.59661
1030 0.589328
1040 0.583612
1050 0.579864
1060 0.577903
1070 0.577251
1080 0.577568
1090 0.578688
1100 0.581678
1110 0.584845
1120 0.58669
1130 0.591894
1140 0.602051
1150 0.615266
1160 0.628808
1170 0.639059
1180 0.642907
1190 0.64139
1200 0.638411
1210 0.636802
1220 0.636109
1230 0.638131
1240 0.647034
1250 0.661915
1260 0.680252
1270 0.696411
1280 0.705393
1290 0.707313
1300 0.705975
1310 0.702374
1320 0.696191
1330 0.693026
1340 0.693218
1350 0.695225
1360 0.698197
1370 0.699154
1380 0.696126
1390 0.693022
1400 0.694015
1410 0.698566
1420 0.702346
1430 0.703911
1440 0.70505
1450 0.705805
1460 0.706718
1470 0.711233
1480 0.721128
1490 0.733828
1500 0.744321
1510 0.753104
1520 0.763723
1530 0.774831
1540 0.783855
1550 0.788733
1560 0.793019
1570 0.799547
1580 0.803175
1590 0.802619
1600 0.80166
1610 0.801197
1620 0.799747
1630 0.797379
1640 0.792409
1650 0.784341
1660 0.777024
1670 0.770825
1680 0.767173
1690 0.768547
1700 0.776797
1710 0.788281
1720 0.80172
1730 0.814397
1740 0.822793
1750 0.82641
1760 0.828471
1770 0.83171
1780 0.835763
1790 0.839817
1800 0.842024
1810 0.842113
1820 0.841821
1830 0.841561
1840 0.841555
1850 0.843854
1860 0.847262
1870 0.852299
1880 0.857412
1890 0.854835
1900 0.84284
1910 0.828298
1920 0.818431
1930 0.815648
1940 0.819576
1950 0.826658
1960 0.833759
1970 0.838899
1980 0.836754
1990 0.827406
2000 0.81774
2010 0.808102
2020 0.798607
2030 0.78939
2040 0.782463
2050 0.779247
2060 0.776711
2070 0.778018
2080 0.786548
2090 0.798763
2100 0.809137
2110 0.817801
2120 0.82579
2130 0.829467
2140 0.82894
2150 0.832721
2160 0.840263
2170 0.847017
2180 0.85396
2190 0.86111
2200 0.868412
2210 0.874436
2220 0.878139
2230 0.879594
2240 0.881359
2250 0.885688
2260 0.889635
2270 0.890743
2280 0.890783
2290 0.890806
2300 0.893145
2310 0.893401
2320 0.886079
2330 0.876891
2340 0.872043
2350 0.87262
2360 0.878567
2370 0.891863
2380 0.906311
2390 0.912307
2400 0.910702
2410 0.908266
2420 0.908425
2430 0.908859
2440 0.910489
2450 0.915849
2460 0.924044
2470 0.934394
2480 0.948068
2490 0.959203
2500 0.964192
2510 0.969335
2520 0.979198
2530 0.988512
2540 0.995822
2550 1.00419
2560 1.01224
2570 1.01513
2580 1.01444
2590 1.01089
2600 1.00371
2610 0.997296
2620 0.994904
2630 0.996819
2640 1.00414
2650 1.01343
2660 1.01708
2670 1.01691
2680 1.02039
2690 1.02687
2700 1.03007
2710 1.02977
2720 1.02738
2730 1.02327
2740 1.02031
2750 1.02291
2760 1.02855
2770 1.0318
2780 1.03647
2790 1.04372
2800 1.04715
2810 1.0478
2820 1.05188
2830 1.05694
2840 1.06066
2850 1.06786
2860 1.07909
2870 1.09228
2880 1.10515
2890 1.11296
2900 1.11161
2910 1.10252
2920 1.09139
2930 1.08431
2940 1.08284
2950 1.08674
2960 1.09347
2970 1.09979
2980 1.10505
2990 1.10672
3000 1.10486
3010 1.10423
3020 1.10478
3030 1.10654
3040 1.1119
3050 1.1208
3060 1.12565
3070 1.12253
3080 1.1149
3090 1.10754
3100 1.10114
3110 1.09903
3120 1.10441
3130 1.11526
3140 1.12634
3150 1.1366
3160 1.1421
3170 1.14196
3180 1.14014
