# Time-averaged data for fix msdw
# TimeStep c_mw[4]
0 1.45064e-11
10 0.0252299
20 0.0731243
30 0.106452
40 0.126011
50 0.144116
60 0.166841
70 0.194473
80 0.221668
90 0.247314
100 0.273906
110 0.301457
120 0.32608
130 0.347056
140 0.366906
150 0.389856
160 0.41355
170 0.432688
180 0.451472
190 0.470685
200 0.488129
210 0.505077
220 0.522991
230 0.538746
240 0.555101
250 0.573232
260 0.589984
270 0.605902
280 0.620115
290 0.631315
300 0.641268
310 0.657867
320 0.673672
330 0.683214
340 0.690747
350 0.701651
360 0.717574
370 0.733822
380 0.745835
390 0.754662
400 0.763643
410 0.774886
420 0.786646
430 0.796351
440 0.805006
450 0.814883
460 0.826093
470 0.836269
480 0.846624
490 0.85391
500 0.861837
510 0.87216
520 0.882833
530 0.889899
540 0.897074
550 0.907054
560 0.914512
570 0.919805
580 0.928573
590 0.939413
600 0.951463
610 0.965422
620 0.978249
630 0.988996
640 1.0009
650 1.01828
660 1.03487
670 1.04513
680 1.05215
690 1.06347
700 1.0783
710 1.09137
720 1.09992
730 1.10867
740 1.12055
750 1.13289
760 1.14504
770 1.15868
780 1.1715
790 1.18183
800 1.19154
810 1.20173
820 1.20883
830 1.21064
840 1.21208
850 1.21784
860 1.22405
870 1.2271
880 1.23064
890 1.23878
900 1.2541
910 1.26862
920 1.27914
930 1.28632
940 1.2989
950 1.31263
960 1.32099
970 1.32337
980 1.32823
990 1.34318
1000 1.36214
1010 1.3744
1020 1.38227
1030 1.39067
1040 1.40201
1050 1.40982
1060 1.41778
1070 1.43133
1080 1.44689
1090 1.45879
1100 1.46866
1110 1.47945
1120 1.49188
1130 1.5028
1140 1.51274
1150 1.51944
1160 1.52647
1170 1.53399
1180 1.54364
1190 1.55491
1200 1.56558
1210 1.57224
1220 1.57501
1230 1.57773
1240 1.58315
1250 1.59232
1260 1.60362
1270 1.61346
1280 1.617
1290 1.619
1300 1.62233
1310 1.62747
1320 1.63295
1330 1.642
1340 1.65347
1350 1.66063
1360 1.66657
1370 1.67321
1380 1.6785
1390 1.68342
1400 1.69122
1410 1.7001
1420 1.7074
1430 1.71588
1440 1.72283
1450 1.72581
1460 1.72803
1470 1.7388
1480 1.75271
1490 1.76165
1500 1.76782
1510 1.7744
1520 1.7792
1530 1.78223
1540 1.78761
1550 1.79591
1560 1.80439
1570 1.80986
1580 1.81185
1590 1.81701
1600 1.82908
1610 1.84021
1620 1.84543
1630 1.85248
1640 1.86154
1650 1.86557
1660 1.87191
1670 1.88133
1680 1.88945
1690 1.89866
1700 1.90977
1710 1.91626
1720 1.92057
1730 1.93219
1740 1.9426
1750 1.94453
1760 1.94558
1770 1.94888
1780 1.95277
1790 1.95717
1800 1.96103
1810 1.96461
1820 1.96813
1830 1.97398
1840 1.9817
1850 1.98732
1860 1.98903
1870 1.99323
1880 2.00165
1890 2.00681
1900 2.01195
1910 2.02079
1920 2.03126
1930 2.04073
1940 2.04555
1950 2.04627
1960 2.05149
1970 2.06415
1980 2.07907
1990 2.08931
2000 2.09802
2010 2.10423
2020 2.11118
2030 2.12123
2040 2.13271
2050 2.1435
2060 2.15453
2070 2.16431
2080 2.17086
2090 2.17857
2100 2.19512
2110 2.21382
2120 2.22657
2130 2.23899
2140 2.25207
2150 2.2615
2160 2.26788
2170 2.27617
2180 2.28958
2190 2.29852
2200 2.30122
2210 2.30653
2220 2.31215
2230 2.31796
2240 2.3234
2250 2.32938
2260 2.33789
2270 2.34365
2280 2.34547
2290 2.35014
2300 2.35796
2310 2.36305
2320 2.36405
2330 2.3695
2340 2.37754
2350 2.38553
2360 2.39741
2370 2.40824
2380 2.41758
2390 2.43245
2400 2.44307
2410 2.44338
2420 2.44361
2430 2.45517
2440 2.47376
2450 2.48829
2460 2.49658
2470 2.50632
2480 2.5161
2490 2.52141
2500 2.52756
2510 2.54276
2520 2.55864
2530 2.56748
2540 2.57529
2550 2.58447
2560 2.59706
2570 2.6106
2580 2.62393
2590 2.63228
2600 2.63786
2610 2.64253
2620 2.64601
2630 2.65714
2640 2.67591
2650 2.69139
2660 2.70318
2670 2.7152
2680 2.72839
2690 2.74113
2700 2.75193
2710 2.75858
2720 2.76502
2730 2.77667
2740 2.78631
2750 2.78893
2760 2.78865
2770 2.79307
2780 2.79831
2790 2.80339
2800 2.80638
2810 2.80754
2820 2.80673
2830 2.8117
2840 2.8189
2850 2.82362
2860 2.82778
2870 2.82984
2880 2.82997
2890 2.83158
2900 2.83841
2910 2.84099
2920 2.84084
2930 2.8371
2940 2.83577
2950 2.83566
2960 2.83231
2970 2.82811
2980 2.83084
2990 2.8404
3000 2.84953
3010 2.85469
3020 2.86412
3030 2.87193
3040 2.87363
3050 2.87408
3060 2.88064
3070 2.88912
3080 2.89068
3090 2.89235
3100 2.89802
3110 2.90395
3120 2.90912
3130 2.91532
3140 2.92347
3150 2.93199
3160 2.94145
3170 2.94884
3180 2.95697
3190 2.96617
3200 2.97453
3210 2.97824
3220 2.9795
3230 2.98823
3240 3.00054
3250 3.00399
3260 3.0066
3270 3.01345
3280 3.02199
3290 3.03325
3300 3.03786
3310 3.03467
3320 3.03087
3330 3.03243
3340 3.03632
3350 3.04497
3360 3.05265
3370 3.05303
3380 3.05427
3390 3.06485
3400 3.08165
3410 3.09311
3420 3.09987
3430 3.10647
3440 3.11347
3450 3.11936
3460 3.12625
3470 3.13339
3480 3.13759
3490 3.1387
3500 3.14355
3510 3.15212
3520 3.16108
3530 3.17045
3540 3.17758
3550 3.18446
3560 3.19742
3570 3.208
3580 3.21555
3590 3.22096
3600 3.22773
3610 3.23965
3620 3.25287
3630 3.26384
3640 3.27159
3650 3.28114
3660 3.28971
3670 3.29636
3680 3.30515
3690 3.31079
3700 3.3146
3710 3.31708
3720 3.32569
3730 3.33467
3740 3.34482
3750 3.3561
3760 3.36294
3770 3.36647
3780 3.37801
3790 3.39558
3800 3.40787
3810 3.41332
3820 3.42301
3830 3.43132
3840 3.43439
3850 3.43852
3860 3.44927
3870 3.46106
3880 3.46935
3890 3.47907
3900 3.4859
3910 3.48679
3920 3.49069
3930 3.49937
3940 3.50786
3950 3.51607
3960 3.52587
3970 3.53076
3980 3.53227
3990 3.53779
4000 3.54979
4010 3.56166
4020 3.57542
4030 3.58601
4040 3.58733
4050 3.58812
4060 3.59751
4070 3.60859
4080 3.6202
4090 3.63789
4100 3.65407
4110 3.66479
4120 3.6776
4130 3.69278
4140 3.70304
4150 3.70529
4160 3.70804
4170 3.71423
4180 3.72248
4190 3.73322
4200 3.73697
4210 3.73947
4220 3.75045
4230 3.76679
4240 3.78086
4250 3.78953
4260 3.79368
4270 3.79857
4280 3.80418
4290 3.80889
4300 3.8088
4310 3.80842
4320 3.80776
4330 3.80608
4340 3.8039
4350 3.80607
4360 3.81461
4370 3.82442
4380 3.83642
4390 3.83891
4400 3.83758
4410 3.84062
4420 3.84341
4430 3.84713
4440 3.85384
4450 3.86097
4460 3.87028
4470 3.88198
4480 3.89481
4490 3.90783
4500 3.91696
4510 3.92743
4520 3.93988
4530 3.9462
4540 3.94851
4550 3.95619
4560 3.96761
4570 3.98236
4580 3.99346
4590 3.99905
4600 4.00058
4610 4.00344
4620 4.01661
4630 4.03875
4640 4.06048
4650 4.07869
4660 4.09035
4670 4.09516
4680 4.09442
4690 4.09746
4700 4.10619
4710 4.11914
4720 4.13265
4730 4.14417
4740 4.15644
4750 4.1707
4760 4.18513
4770 4.19506
4780 4.20414
4790 4.21346
4800 4.22078
4810 4.23348
