# Time-averaged data for fix msdk
# TimeStep c_mk[4]
0 2.81233e-29
10 0.0018494
20 0.0072145
30 0.0156557
40 0.0268248
50 0.0405046
60 0.0564291
70 0.0741406
80 0.0929457
90 0.112015
100 0.130676
110 0.148578
120 0.165792
130 0.182834
140 0.200171
150 0.218025
160 0.236483
170 0.25549
180 0.274831
190 0.294298
200 0.313563
210 0.332367
220 0.350766
230 0.369132
240 0.387784
250 0.406477
260 0.425088
270 0.443802
280 0.462242
290 0.479521
300 0.495381
310 0.510111
320 0.524429
330 0.539267
340 0.554773
350 0.570216
360 0.584738
370 0.598481
380 0.612194
390 0.625927
400 0.638676
410 0.649395
420 0.657849
430 0.664263
440 0.668833
450 0.672107
460 0.675265
470 0.679661
480 0.686078
490 0.694449
500 0.704374
