# Time-averaged data for fix msdk
# TimeStep c_mk[4]
0 2.52435e-29
10 0.00204117
20 0.00786608
30 0.0166863
40 0.0276464
50 0.0402006
60 0.0540182
70 0.06865
80 0.0835254
90 0.0983775
100 0.113238
110 0.127998
120 0.142614
130 0.157097
140 0.171164
150 0.184757
160 0.198147
170 0.211247
180 0.224
190 0.236745
200 0.24948
210 0.261655
220 0.272797
230 0.282671
240 0.29165
250 0.300578
260 0.309599
270 0.318262
280 0.326191
290 0.333164
300 0.339022
310 0.343924
320 0.34859
330 0.353898
340 0.360067
350 0.366728
360 0.373858
370 0.381696
380 0.390245
390 0.399259
400 0.40858
410 0.418387
420 0.42877
430 0.439345
440 0.449408
450 0.45875
460 0.467553
470 0.475685
480 0.482739
490 0.488764
500 0.494142
510 0.498924
520 0.50326
530 0.507727
540 0.512338
550 0.516572
560 0.520252
570 0.523231
580 0.525609
590 0.528183
600 0.532131
610 0.53866
620 0.548552
630 0.561223
640 0.574363
