# Time-averaged data for fix msdo
# TimeStep c_mo[4]
0 3.78653e-29
10 0.00429665
20 0.0153846
30 0.0294367
40 0.0437093
50 0.0571057
60 0.068838
70 0.0804535
80 0.0932221
90 0.106802
100 0.121696
110 0.138753
120 0.156286
130 0.172901
140 0.188821
150 0.204122
160 0.219628
170 0.237408
180 0.256665
190 0.272886
200 0.286544
210 0.302763
220 0.322333
230 0.341675
240 0.358432
250 0.372216
260 0.383949
270 0.393958
280 0.404209
290 0.417397
300 0.434346
310 0.451798
320 0.467232
330 0.481486
340 0.494723
350 0.508374
360 0.522922
370 0.535329
380 0.544148
390 0.550077
400 0.554317
410 0.560631
420 0.571241
430 0.584167
440 0.59707
450 0.609802
460 0.622536
470 0.63755
480 0.655353
490 0.672419
500 0.684342
