# Time-averaged data for fix msdo
# TimeStep c_mo[4]
0 2.52435e-29
10 0.0041475
20 0.0156525
30 0.03111
40 0.0474567
50 0.0624462
60 0.0748817
70 0.0858939
80 0.0972916
90 0.11015
100 0.124147
110 0.139178
120 0.153377
130 0.16398
140 0.173087
150 0.183736
160 0.194118
170 0.202592
180 0.210102
190 0.21691
200 0.223028
210 0.22835
220 0.231731
230 0.232833
240 0.232298
250 0.232854
260 0.236909
270 0.244126
280 0.253326
290 0.26243
300 0.269462
310 0.277106
320 0.285974
330 0.29308
340 0.299343
350 0.306367
360 0.312333
370 0.317
380 0.321415
390 0.32591
400 0.330916
410 0.337366
420 0.345371
430 0.353066
440 0.357975
450 0.361118
460 0.363789
470 0.366115
480 0.368373
490 0.372947
500 0.380385
510 0.388292
520 0.394167
530 0.397301
540 0.398143
550 0.397527
560 0.398144
570 0.401364
580 0.407131
590 0.41457
600 0.423329
610 0.431337
620 0.436274
630 0.4382
640 0.438474
