# Time-averaged data for fix msdw
# TimeStep c_mw[4]
0 1.31485e-09
10 0.0228979
20 0.0676266
30 0.0997757
40 0.119778
50 0.142123
60 0.16995
70 0.199823
80 0.229298
90 0.258547
100 0.284762
110 0.312684
120 0.346015
130 0.379726
140 0.411306
150 0.443585
160 0.476507
170 0.507016
180 0.538378
190 0.571026
200 0.603601
210 0.63156
220 0.658652
230 0.687176
240 0.713828
250 0.738861
260 0.760576
270 0.781946
280 0.808755
290 0.837492
300 0.859353
310 0.87947
320 0.900133
330 0.921901
340 0.943666
350 0.965306
360 0.985138
370 1.00189
380 1.01765
390 1.03617
400 1.05376
410 1.06942
420 1.08201
430 1.09216
440 1.10576
450 1.12276
460 1.14152
470 1.16057
480 1.17834
490 1.19344
500 1.20644
