# Time-averaged data for fix msdw
# TimeStep c_mw[4]
0 4.10939e-11
10 0.0244948
20 0.0692307
30 0.0984664
40 0.114087
50 0.132083
60 0.155283
70 0.179663
80 0.20341
90 0.226902
100 0.249039
110 0.271827
120 0.297281
130 0.320739
140 0.342861
150 0.366165
160 0.388848
170 0.408095
180 0.426453
190 0.445393
200 0.461401
210 0.475767
220 0.491776
230 0.508152
240 0.52214
250 0.534027
260 0.546614
270 0.556615
280 0.564042
290 0.571923
300 0.582458
310 0.593052
320 0.603855
330 0.61481
340 0.624292
350 0.637152
360 0.64925
370 0.658053
380 0.665212
390 0.67528
400 0.686717
410 0.697718
420 0.705105
430 0.711851
440 0.717323
450 0.723649
460 0.731631
470 0.739414
480 0.753027
490 0.766547
500 0.776703
510 0.787753
520 0.800079
530 0.807212
540 0.811788
550 0.821921
560 0.836407
570 0.846345
580 0.852593
590 0.859798
600 0.869127
610 0.878144
620 0.885746
630 0.892355
640 0.900077
