# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 -217.694 -153.807 79.7276
1 -187.597 -151.03 106.832
2 -158.221 -149.677 128.826
3 -132.739 -150.051 147.981
4 -114.884 -151.401 163.036
5 -107.361 -153.231 172.878
6 -111.911 -155.444 176.888
7 -128.37 -158.095 175.04
8 -155.611 -160.904 167.288
9 -191.402 -163.33 154.132
10 -233.058 -165.107 136.375
11 -277.724 -165.145 115.201
12 -323.005 -162.275 92.4035
13 -366.517 -155.78 70.0862
14 -406.705 -145.419 50.1824
15 -441.792 -131.407 34.4367
16 -471.524 -114.598 24.3554
17 -495.791 -95.8133 20.7147
18 -515.434 -75.5278 23.8196
19 -531.726 -53.8252 33.8821
20 -545.732 -30.4924 50.9619
21 -558.188 -5.23777 74.7317
22 -568.78 22.5906 104.438
23 -576.444 52.9976 138.73
24 -579.956 85.5851 175.629
25 -577.919 119.771 212.508
26 -569.881 154.644 246.322
27 -555.762 189.336 274.497
28 -536.22 223.228 294.515
29 -512.242 255.828 304.865
30 -485.261 287.259 304.637
31 -456.342 317.69 293.706
32 -426.322 347.727 272.736
33 -395.561 377.819 242.937
34 -364.218 408.418 206.361
35 -332.316 439.713 165.527
36 -299.482 471.212 123.278
37 -265.832 502.065 82.5349
38 -232.001 530.937 45.8598
39 -198.799 556.104 15.445
40 -167.508 575.752 -7.53618
41 -139.118 588.492 -22.0581
42 -114.775 593.93 -28.7109
43 -94.9547 592.263 -27.3609
44 -79.4641 584.615 -18.4101
45 -67.1746 572.507 -2.27265
46 -56.5451 557.259 20.4497
47 -45.7399 540.013 49.0957
48 -33.0506 520.857 82.2097
49 -17.9418 499.843 118.078
50 -0.539043 476.723 155.391
51 18.0368 451.237 193.273
52 35.8388 423.422 231.166
53 51.1628 393.139 268.398
54 62.15 360.042 304.542
55 67.2632 323.214 338.238
56 65.8983 281.335 368.124
57 57.7931 232.9 393.048
58 44.0594 176.801 412.291
59 26.0753 112.839 425.816
60 5.69022 42.1102 433.826
61 -14.6414 -33.7302 437.418
62 -32.0843 -111.682 437.88
63 -43.7897 -188.357 436.32
64 -47.495 -260.081 433.748
65 -41.9794 -323.66 430.771
66 -27.5886 -375.988 427.976
67 -6.03292 -414.306 426.057
68 19.8473 -437.297 425.804
69 47.0451 -444.556 427.35
70 73.0354 -437.174 430.607
71 96.3517 -417.232 435.103
72 115.968 -387.187 439.748
73 131.882 -349.304 443.848
74 144.48 -305.714 446.383
75 153.529 -258.012 446.324
76 158.722 -207.426 443.038
77 158.879 -155.047 435.327
78 152.802 -102.036 422.156
79 139.367 -50.1316 402.297
80 117.593 -0.831482 375.001
81 87.5412 43.6198 340.145
82 49.8971 81.2951 297.926
83 6.13182 110.73 249.962
84 -41.5347 130.572 198.077
85 -91.273 140.55 144.985
86 -141.311 140.604 93.3929
87 -190.249 131.043 45.8216
88 -236.956 112.649 4.35223
89 -280.625 86.4662 -30.1043
90 -320.263 53.2546 -56.992
91 -354.583 14.4457 -76.9692
92 -381.74 -28.831 -90.9214
93 -399.887 -75.0846 -100.616
94 -407.602 -123.053 -107.76
95 -403.796 -170.846 -114.035
96 -388.762 -217.495 -121.304
97 -364.056 -261.825 -130.428
98 -333.171 -302.82 -141.931
99 -300.535 -339.773 -155.434
100 -271.251 -371.769 -169.904
101 -249.908 -398.276 -183.756
102 -240.321 -418.589 -194.615
103 -244.473 -432.502 -200.598
104 -262.527 -440.057 -199.549
105 -292.293 -442.282 -189.933
106 -330.485 -439.916 -170.551
107 -372.333 -434.252 -140.875
108 -413.012 -426.669 -101.153
109 -447.223 -418.05 -52.2849
110 -470.064 -409.032 4.32573
111 -477.725 -399.771 66.8485
112 -468.294 -389.261 133.866
113 -441.597 -377.067 204.162
114 -399.497 -362.234 276.457
115 -346.018 -344.518 349.171
116 -286.183 -323.98 419.793
117 -225.534 -301.145 485.161
118 -169.271 -277.066 541.919
119 -121.473 -253.822 586.874
120 -84.0254 -233.407 617.827
121 -57.2392 -217.924 634.412
122 -39.4567 -209.097 637.08
123 -27.6177 -208.106 627.693
124 -18.4796 -215.287 608.85
125 -8.49775 -230.395 582.927
126 4.31618 -252.757 552.444
127 21.3444 -281.238 519.903
128 42.8756 -314.534 487.023
129 68.6353 -351.224 455.843
130 97.7887 -390.23 427.936
131 129.62 -430.087 404.463
132 162.978 -469.293 386.026
133 196.878 -505.959 372.274
134 230.446 -537.658 362.508
135 263.442 -561.783 356.08
136 295.112 -576.229 352.391
137 325.06 -579.275 350.745
138 352.139 -570.246 350.786
139 374.747 -550.015 351.784
140 391.562 -520.407 352.577
141 400.974 -484.731 351.158
142 402.026 -446.651 345.655
143 395.04 -410.039 333.733
144 380.843 -377.324 313.541
145 361.258 -349.752 283.938
146 338.103 -326.969 245.41
147 313.374 -307.995 199.091
148 288.085 -291.539 147.565
149 263.069 -277.032 94.0163
