# Time-averaged data for fix pt
# TimeStep v_pxy v_pxz v_pyz
0 487.161 -189.677 -147.753
1 497.46 -191.43 -108.096
2 507.101 -193.706 -64.4097
3 516.765 -196.086 -17.6366
4 526.798 -198.43 31.3054
5 537.4 -200.94 81.9426
6 548.18 -204.221 133.447
7 559.034 -208.494 183.462
8 569.914 -214.459 229.2
9 580.672 -221.051 266.614
10 591.213 -226.897 291.889
11 601.115 -230.455 302.241
12 610.182 -230.059 296.936
13 617.407 -223.974 276.915
14 621.815 -211.502 244.977
15 622.637 -192.578 205.06
16 618.998 -167.579 161.301
17 611.093 -137.443 117.178
18 600.07 -103.306 75.6842
19 588.102 -66.5857 38.9443
20 577.412 -29.023 8.10031
21 569.855 7.56677 -16.1895
22 566.856 41.1614 -34.1741
23 568.938 70.2419 -46.6844
24 576.498 93.9665 -55.2732
25 589.485 112.591 -62.2976
26 607.633 128.08 -69.9048
27 630.537 142.753 -80.1231
28 657.645 159.065 -93.6808
29 687.73 178.781 -110.036
30 719.091 202.772 -127.41
31 750.574 230.258 -142.414
32 781.339 259.046 -151.478
33 811.002 286.032 -150.8
34 840.014 307.8 -137.51
35 869.497 321.413 -110.253
36 900.42 324.796 -69.5874
37 933.788 317.906 -17.3467
38 970.754 302.537 43.4395
39 1011.32 281.668 109.089
40 1055.65 259.601 175.846
41 1102.89 240.242 240.448
42 1151.47 227.122 299.598
43 1199.17 222.432 350.575
44 1242.88 226.976 390.929
45 1279.4 240.019 419.006
46 1305.92 260.424 434.152
47 1320.33 286.314 437.022
48 1321.33 316.179 429.391
49 1308.98 348.657 413.691
50 1283.6 382.497 392.609
51 1246.04 416.125 368.12
52 1197.05 447.889 341.836
53 1137.51 476.37 314.77
54 1069.07 499.998 287.003
55 994.048 517.872 258.63
56 915.69 529.196 229.898
57 838.273 533.796 201.216
58 766.121 532.27 173.525
59 703.128 524.95 147.791
60 652.212 512.796 124.837
61 614.536 496.107 105.148
62 589.353 476.052 88.8171
63 574.174 453.94 75.6382
64 565.261 431.298 64.9035
65 558.142 409.976 55.7384
66 548.401 391.014 47.0276
67 532.786 375.755 37.8377
68 509.164 364.747 27.6622
69 477.82 358.522 16.2774
70 441.097 357.238 3.53302
71 403.057 361.28 -10.5144
72 368.719 370.418 -26.0763
73 342.48 384.193 -42.9988
74 327.556 400.885 -61.5122
75 324.667 418.774 -81.9015
76 332.511 435.452 -104.078
77 348.266 448.857 -127.631
78 368.838 457.664 -151.586
79 390.877 460.701 -174.723
80 412.099 457.77 -195.386
81 430.521 449.054 -212.401
82 445.297 434.851 -224.236
83 455.772 415.77 -229.544
84 461.035 392.326 -227.481
85 460.491 364.964 -217.795
86 453.437 333.745 -200.293
87 439.237 299.344 -175.675
88 417.393 262.075 -144.586
89 388.339 222.33 -108.689
90 353.022 180.647 -69.9902
91 313.26 137.518 -30.9768
92 271.176 93.5095 5.55214
93 229.566 48.5422 37.2796
94 190.356 2.70376 62.0722
95 154.881 -44.0064 78.9248
96 123.604 -91.3211 87.1642
97 95.5597 -138.131 86.9996
98 69.4105 -182.89 78.844
99 43.3287 -223.663 63.981
100 15.4356 -258.464 43.8999
101 -15.8762 -285.715 20.2299
102 -51.2386 -304.7 -4.8056
103 -90.4599 -315.22 -29.1719
104 -131.611 -318.193 -51.135
105 -171.667 -314.474 -69.0688
106 -206.931 -305.295 -81.9369
107 -233.313 -291.742 -89.0695
108 -248.118 -275.034 -90.0259
109 -249.901 -256.318 -84.9191
110 -238.831 -236.45 -74.0951
111 -216.533 -216.786 -58.5647
112 -185.368 -198.24 -40.2228
113 -147.626 -181.563 -20.8842
114 -105.296 -167.143 -2.0088
115 -59.9876 -155.022 15.4201
116 -12.8831 -145.142 31.5951
117 34.3003 -136.935 47.1431
118 79.7739 -129.928 63.425
119 121.257 -123.194 80.7774
120 156.825 -116.319 98.8496
121 185.082 -109.37 116.117
122 206.168 -102.644 130.143
123 221.675 -97.3486 138.905
124 234.374 -95.142 140.834
125 247.455 -97.1249 136.032
126 264.087 -103.687 125.367
127 286.481 -114.462 109.901
128 315.26 -127.92 91.6151
129 349.632 -141.683 71.9393
130 387.401 -152.745 51.8815
131 425.329 -158.429 31.8942
132 459.618 -156.908 11.6314
133 486.419 -146.991 -9.24787
134 502.412 -128.887 -31.1539
135 505.278 -103.934 -54.4
136 493.574 -74.1564 -79.0401
137 466.668 -42.3299 -104.767
138 424.877 -11.3959 -131.32
139 370.021 15.9626 -159.201
140 304.747 37.0863 -189.03
141 232.574 50.0988 -222.428
142 158.212 53.8275 -260.809
143 86.4348 48.1386 -304.871
144 21.5951 34.7113 -354.464
145 -32.8286 15.4396 -408.068
146 -74.4762 -6.92701 -462.554
147 -103.093 -29.8743 -513.989
148 -119.809 -51.694 -557.662
149 -127.351 -71.9002 -589.935
150 -128.828 -90.8131 -607.917
151 -127.334 -109.394 -610.397
152 -125.095 -128.33 -597.645
153 -123.601 -148.068 -571.405
154 -122.91 -168.88 -534.132
155 -121.994 -191.068 -488.955
156 -119.145 -215.136 -439.388
157 -112.624 -241.649 -389.061
158 -101.724 -270.974 -341.445
159 -86.1446 -302.471 -299.858
160 -67.0419 -334.299 -267.454
161 -46.2342 -363.587 -245.8
162 -25.5143 -386.858 -236.142
163 -6.5419 -400.855 -238.039
