# Time-averaged data for fix qavg
# TimeStep c_sqb c_sqt
1000 0.0340208 -0.0340208
2000 -0.02702 0.02702
3000 0.181584 -0.181584
4000 0.0883351 -0.0883351
5000 0.273427 -0.273427
6000 0.312416 -0.312416
7000 0.191471 -0.191471
8000 0.0502865 -0.0502865
9000 0.115392 -0.115392
10000 -0.0528165 0.0528165
11000 -0.138299 0.138299
12000 0.160093 -0.160093
13000 0.322458 -0.322458
14000 0.344392 -0.344392
15000 0.109728 -0.109728
16000 0.0497634 -0.0497634
17000 -0.130821 0.130821
18000 -0.0299937 0.0299937
19000 -0.472534 0.472534
20000 -0.178761 0.178761
