# Time-averaged data for fix qavg
# TimeStep c_sqb c_sqt
1000 -0.230478 0.230478
2000 -0.275402 0.275402
3000 -0.261455 0.261455
4000 -0.154591 0.154591
5000 -0.11631 0.11631
6000 -0.0241575 0.0241575
7000 -0.0559991 0.0559991
8000 -0.0863125 0.0863125
9000 -0.288332 0.288332
10000 -0.188116 0.188116
11000 -0.0790893 0.0790893
12000 0.0902762 -0.0902762
13000 -0.0995103 0.0995103
14000 -0.281457 0.281457
15000 -0.0894238 0.0894238
16000 0.0558701 -0.0558701
17000 -0.0329207 0.0329207
18000 0.0163054 -0.0163054
19000 -0.372188 0.372188
20000 -0.11845 0.11845
21000 -0.0689636 0.0689636
22000 -0.296517 0.296517
23000 -0.419411 0.419411
24000 -0.147713 0.147713
25000 0.00550869 -0.00550869
26000 0.0165167 -0.0165167
27000 0.0354245 -0.0354245
28000 -0.150507 0.150507
29000 -0.330623 0.330623
30000 -0.49143 0.49143
31000 -0.460958 0.460958
32000 -0.335682 0.335682
33000 -0.0950466 0.0950466
34000 -0.153383 0.153383
35000 0.0144756 -0.0144756
36000 -0.106498 0.106498
37000 -0.0618706 0.0618706
38000 -0.172893 0.172893
39000 -0.102871 0.102871
40000 -0.178559 0.178559
41000 -0.204049 0.204049
42000 -0.0796981 0.0796981
43000 -0.0803463 0.0803463
44000 -0.146157 0.146157
45000 -0.0712081 0.0712081
46000 -0.116937 0.116937
47000 -0.0453525 0.0453525
48000 0.0601473 -0.0601473
49000 -0.0240501 0.0240501
50000 -0.0939557 0.0939557
51000 -0.0710117 0.0710117
52000 0.0336571 -0.0336571
53000 0.109825 -0.109825
54000 -0.194395 0.194395
55000 -0.297541 0.297541
56000 -0.216218 0.216218
57000 -0.0783335 0.0783335
58000 -0.276112 0.276112
59000 -0.102628 0.102628
60000 -0.0840219 0.0840219
61000 0.000383288 -0.000383288
62000 -0.0989686 0.0989686
63000 -0.0547813 0.0547813
64000 -0.046214 0.046214
65000 -0.144242 0.144242
66000 -0.131638 0.131638
67000 -0.206167 0.206167
68000 -0.118949 0.118949
69000 -0.178946 0.178946
70000 -0.00337052 0.00337052
71000 0.0257951 -0.0257951
72000 -0.0892686 0.0892686
73000 -0.049574 0.049574
74000 -0.000217075 0.000217075
75000 0.0486415 -0.0486415
76000 0.114144 -0.114144
77000 -0.00175665 0.00175665
78000 0.00414459 -0.00414459
79000 -0.0771102 0.0771102
80000 -0.2798 0.2798
81000 0.0465544 -0.0465544
82000 0.0559933 -0.0559933
83000 -0.0942715 0.0942715
84000 -0.283836 0.283836
85000 -0.035055 0.035055
86000 -0.0930752 0.0930752
87000 -0.0246798 0.0246798
88000 -0.162613 0.162613
89000 -0.115723 0.115723
90000 -0.0499526 0.0499526
91000 0.0405591 -0.0405591
92000 0.0782704 -0.0782704
93000 -0.10206 0.10206
94000 -0.0942683 0.0942683
95000 -0.234731 0.234731
96000 -0.0411552 0.0411552
97000 0.00438294 -0.00438294
98000 -0.0554303 0.0554303
99000 -0.054847 0.054847
100000 -0.112407 0.112407
101000 -0.00814801 0.00814801
102000 0.0472379 -0.0472379
103000 0.042687 -0.042687
104000 0.137039 -0.137039
105000 -0.171276 0.171276
106000 -0.268179 0.268179
107000 -0.183508 0.183508
