# Chunk-averaged data for fix dmap and group liq
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 15316.000000000104
  1 0.25 0.25 0 0
  2 0.25 0.75 0 0
  3 0.25 1.25 0 0
  4 0.25 1.75 0 0
  5 0.25 2.25 0 0
  6 0.25 2.75 0 0
  7 0.25 3.25 0 0
  8 0.25 3.75 0 0
  9 0.25 4.25 0 0
  10 0.25 4.75 0 0
  11 0.25 5.25 0 0
  12 0.25 5.75 0 0
  13 0.25 6.25 0 0
  14 0.25 6.75 0 0
  15 0.25 7.25 0 0
  16 0.25 7.75 0 0
  17 0.25 8.25 0 0
  18 0.25 8.75 0 0
  19 0.25 9.25 0 0
  20 0.25 9.75 0.0008 0.000178531
  21 0.25 10.25 0.001 0.000887001
  22 0.25 10.75 0.0052 0.00979033
  23 0.25 11.25 0.0124 0.0167078
  24 0.25 11.75 0.0068 0.0134666
  25 0.25 12.25 0.0068 0.0154581
  26 0.25 12.75 0.0108 0.0123677
  27 0.25 13.25 0.0328 0.0278987
  28 0.25 13.75 0.0392 0.0512336
  29 0.25 14.25 0.0542 0.0817984
  30 0.25 14.75 0.057 0.0894206
  31 0.25 15.25 0.0526 0.0715379
  32 0.25 15.75 0.0912 0.115301
  33 0.25 16.25 0.1258 0.171876
  34 0.25 16.75 0.1502 0.222049
  35 0.25 17.25 0.1754 0.225949
  36 0.25 17.75 0.1832 0.252609
  37 0.25 18.25 0.1842 0.328215
  38 0.25 18.75 0.2014 0.312734
  39 0.25 19.25 0.2386 0.341904
  40 0.25 19.75 0.2664 0.422894
  41 0.25 20.25 0.3072 0.510724
  42 0.25 20.75 0.3294 0.520393
  43 0.25 21.25 0.355 0.53251
  44 0.25 21.75 0.4122 0.630929
  45 0.25 22.25 0.4352 0.663364
  46 0.25 22.75 0.4774 0.759297
  47 0.25 23.25 0.5836 0.956255
  48 0.25 23.75 0.6872 1.21425
  49 0.25 24.25 0.7288 1.27724
  50 0.25 24.75 0.6922 1.15335
  51 0.25 25.25 0.6288 1.05575
  52 0.25 25.75 0.624 1.05786
  53 0.25 26.25 0.6904 1.24606
  54 0.25 26.75 0.729 1.21999
  55 0.25 27.25 0.7106 1.16985
  56 0.25 27.75 0.692 1.16522
  57 0.25 28.25 0.6658 1.16534
  58 0.25 28.75 0.7028 1.11284
  59 0.25 29.25 0.6872 1.16155
  60 0.25 29.75 0.6732 1.18153
  61 0.25 30.25 0.663 1.13634
  62 0.25 30.75 0.6904 1.26011
  63 0.25 31.25 0.7038 1.33891
  64 0.25 31.75 0.7332 1.50596
  65 0.25 32.25 0.759 1.53578
  66 0.25 32.75 0.7524 1.42275
  67 0.25 33.25 0.7284 1.29391
  68 0.25 33.75 0.6722 1.17744
