# Chunk-averaged data for fix gmap and group gas
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount density/mass
100000 37280 331.00000000000296
  1 0.25 0.25 0 0
  2 0.25 0.75 0 0
  3 0.25 1.25 0 0
  4 0.25 1.75 0 0
  5 0.25 2.25 0 0
  6 0.25 2.75 0 0
  7 0.25 3.25 0 0
  8 0.25 3.75 0 0
  9 0.25 4.25 0 0
  10 0.25 4.75 0 0
  11 0.25 5.25 0 0
  12 0.25 5.75 0 0
  13 0.25 6.25 0.0008 0.000357061
  14 0.25 6.75 0.0058 0.00258869
  15 0.25 7.25 0.0032 0.00142824
  16 0.25 7.75 0.0032 0.00142824
  17 0.25 8.25 0.0052 0.0023209
  18 0.25 8.75 0.0096 0.00428473
  19 0.25 9.25 0.0098 0.004374
  20 0.25 9.75 0.0114 0.00508812
  21 0.25 10.25 0.0404 0.0180316
  22 0.25 10.75 0.1398 0.0623964
  23 0.25 11.25 0.117 0.0522202
  24 0.25 11.75 0.0866 0.0386519
  25 0.25 12.25 0.0734 0.0327603
  26 0.25 12.75 0.0662 0.0295468
  27 0.25 13.25 0.068 0.0303502
  28 0.25 13.75 0.07 0.0312428
  29 0.25 14.25 0.069 0.0307965
  30 0.25 14.75 0.0696 0.0310643
  31 0.25 15.25 0.0616 0.0274937
  32 0.25 15.75 0.0538 0.0240124
  33 0.25 16.25 0.0498 0.022227
  34 0.25 16.75 0.05 0.0223163
  35 0.25 17.25 0.0556 0.0248157
  36 0.25 17.75 0.0568 0.0253513
  37 0.25 18.25 0.0486 0.0216915
  38 0.25 18.75 0.048 0.0214237
  39 0.25 19.25 0.0488 0.0217807
  40 0.25 19.75 0.0502 0.0224056
  41 0.25 20.25 0.0416 0.0185672
  42 0.25 20.75 0.0432 0.0192813
  43 0.25 21.25 0.0308 0.0137468
  44 0.25 21.75 0.0274 0.0122293
  45 0.25 22.25 0.0188 0.00839093
  46 0.25 22.75 0.0138 0.0061593
  47 0.25 23.25 0.0142 0.00633783
  48 0.25 23.75 0.009 0.00401694
  49 0.25 24.25 0.0052 0.0023209
  50 0.25 24.75 0.0018 0.000803387
  51 0.25 25.25 0.002 0.000892653
  52 0.25 25.75 0.0004 0.000178531
  53 0.25 26.25 0.0006 0.000267796
  54 0.25 26.75 0 0
  55 0.25 27.25 0 0
  56 0.25 27.75 0 0
  57 0.25 28.25 0 0
  58 0.25 28.75 0 0
  59 0.25 29.25 0 0
  60 0.25 29.75 0 0
  61 0.25 30.25 0 0
  62 0.25 30.75 0 0
  63 0.25 31.25 0 0
  64 0.25 31.75 0 0
  65 0.25 32.25 0 0
  66 0.25 32.75 0 0
  67 0.25 33.25 0 0
  68 0.25 33.75 0 0
  69 0.25 34.25 0 0
